content,category,cluster,content_for_labeling,topic_label
"saya membuat laporan em231211bdkb tanggal 12 desember 2023 dan em231213c6j6 tanggal 13 desember 2023 melalui email karena laporan saya dalam bentuk video, dengan harapan bukti yg saya sertakan lebih jelas daripada hanya mencantumkan foto, dan saya pikir tindakannya juga akan lebih cepat. ternyata sampai sekarang tidak ada penindakan sama sekali 😂 apakah laporan saya dianggap laporan yg tidak penting?",Gangguan dan Kebisingan  ,0,lapor em bdkb tanggal desember em c j tanggal desember email lapor bentuk video harap bukti serta cantum foto pikir tindak cepat tindak lapor anggap lapor,"['lapor', 'ulang', 'tolong', 'langgar', 'selesai']"
"jalan amblas, sudah banyak korban. akibat pekerjaan gorong-gorong kerjanya sembarangan",Jalan,1,jalan amblas korban akibat kerja gorong gorong kerja sembarang,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"terdapat lubang cukup dalam, atas perhatian dan perbaikannya saya ucapkan terima kasih",Jalan,2,lubang perhati baik ucap terima kasih,"['selamat', 'mohon', 'terima', 'kasih', 'bantu']"
segera tindak lanjuti masalah hujan lebat dari jam 12.00 wib hingga 14.00 wib menyebabkan jalanan langsung banjir dibawah lutut orang dewasa.,Penanganan Banjir,3,tindak lanjut hujan lebat jam sebab jalan langsung banjir bawah lutut orang dewasa,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
mohon permohonan peninggian jembatan dan pembangunan tanggul pelindung digubris agar tidak ada korban jiwa lagi.,Jalan,3,mohon mohon tinggi jembatan bangun tanggul lindung gubris korban jiwa,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"penutup got hancur, tolong diperbaiki. butuh segera ditindaklanjuti karena satu satunya akses warga ( gang buntu)",Jalan,4,tutup got hancur tolong baik butuh ditindaklanjuti satu akses warga gang buntu,"['tolong', 'rusak', 'jalan', 'lampu', 'tiang']"
permasalahan: segera tindak lanjuti masalah hujan lebat dari jam 12.00 wib hingga 14.00 wib menyebabkan jalanan langsung banjir dibawah lutut orang dewasa.,Penanganan Banjir,3,masalah tindak lanjut hujan lebat jam sebab jalan langsung banjir bawah lutut orang dewasa,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
satu jam yg lalu sdh lapor bakar batok kelapa warung preman maling . tidak tl petugas dan bakar bikin arang lanjut. direlokasi loksem yg srlalu ganggu warga pak,Lokasi PKL Binaan ,5,jam lapor bakar batok kelapa warung preman maling tolong tugas bakar bikin arang relokasi loksem srlalu ganggu warga,"['bakar', 'warga', 'sampah', 'ganggu', 'tindak']"
batang pohon hampir jatuh mengenai pengunjung ragunan pada saat ramai. tolong dinas terkait topping pohon,Pohon,6,batang pohon jatuh unjung ragunan ramai tolong dinas kait topping pohon,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"banyak yg ngelawan arah , bikin macet dan ada yg ngatur tapi ga bener , tolong di bantu agar lancar dan tidak macet ada pelanggaran segera tindak lanjuti masalah masalah ini terjadi saat butuh segera ditindaklanjuti karena",Jalan,7,ngelawan arah bikin macet ngatur tolong bantu lancar macet langgar tindak lanjut butuh ditindaklanjuti,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
