Id,Cluster,Label
0,0,lebih
1,1,gorong
2,2,perhatian
3,3,dibawah
4,4,pembangunan
5,5,hancur
6,3,dibawah
7,6,bakar
8,7,pohon
9,8,macet
10,9,macet
11,10,hal
12,11,alat
13,12,anak
14,13,rawamangun
15,14,masjid
16,15,batang
17,16,pengaspalan
18,17,parkir
19,18,sungai
20,19,anak
21,20,jembatan
22,21,apa
23,22,kuning
24,23,menyatakan
25,24,tutup
26,25,rapih
27,26,berbahaya
28,27,berbahaya
29,28,jalannya
30,29,sisi
31,30,diperbaiki
32,31,pengguna
33,32,trotoar
34,33,terimakasih
35,34,berlubang
36,35,titik
37,36,perbaiki
38,37,kali
39,38,penutup
40,39,penyakit
41,40,mampet
42,41,agak
43,42,tindaklanjuti
44,43,trims
45,44,penggunaan
46,45,pejabat
47,46,got
48,47,instansi
49,48,simpang
50,49,benar
51,50,rata
52,51,macet
53,52,aliran
54,53,air
55,54,toping
56,55,dibuatkan
57,56,dibenahi
58,57,penertiban
59,58,rawamangun
60,59,suara
61,60,fasum
62,61,penertiban
63,62,penertiban
64,61,penertiban
65,63,penertiban
66,64,air
67,65,parkiran
68,66,cukup
69,67,menggunakan
70,68,penertiban
71,69,trotoar
72,70,topping
73,71,ketua
74,72,lubang
75,73,saluran
76,74,light
77,75,cek
78,76,pungli
79,77,komplek
80,78,cempaka
81,79,cek
82,80,pangkas
83,81,kering
84,82,pangkas
85,83,tanah
86,84,pulang
87,85,bangun
88,86,tebang
89,87,tkp
90,88,tkp
91,89,sda
92,90,ojol
93,91,sejak
94,67,menggunakan
95,92,lagi
96,93,terganggu
97,94,utama
98,95,pelanggar
99,96,aparat
100,97,kejahatan
101,98,quot
102,99,sda
103,100,dipangkas
104,101,pd
105,102,diganti
106,103,menyala
107,104,pkl
108,105,parkir
109,106,rapih
110,107,tindaklanjuti
111,108,because
112,109,rawan
113,110,karna
114,111,total
115,112,sda
116,113,rumput
117,114,pembakaran
118,115,sda
119,116,berantakan
120,117,mengalir
121,118,monitoring
122,119,sda
123,120,truk
124,121,bocor
125,122,utk
126,123,fasos
127,124,kendaraan
128,125,tuh
129,126,tumbang
130,127,tuh
131,128,ditemukan
132,129,seberang
133,130,pak
134,131,circlekstores
135,132,bilang
136,133,pkl
137,134,belokan
138,135,mengenai
139,136,berjualan
140,137,dll
141,138,parkir
142,139,keamanan
143,140,dll
144,141,dekat
145,142,tebang
146,143,puing
147,144,tingkat
148,145,rapih
149,146,bagaimana
150,147,berupa
151,148,sisa
152,149,tlg
153,150,tanpa
154,151,pengunjung
155,152,sampah
156,153,bakar
157,154,got
158,155,menghalangi
159,156,violation
160,157,pasar
161,158,sekolah
162,159,roboh
163,160,taman
164,161,sekian
165,162,dulu
166,163,puing
167,164,lawan
168,165,pemotor
169,166,ijin
170,167,dgn
171,168,pagi
172,169,tuh
173,170,terakhir
174,171,lahan
175,172,media
176,173,coretan
177,174,bus
178,175,milik
179,176,tersebut
180,177,gedung
181,178,papan
182,179,buat
183,175,milik
184,180,lawan
185,181,titik
186,182,titik
187,183,disitu
188,184,padahal
189,185,listrik
190,186,gelap
191,187,lalulintas
192,188,membersihkan
193,189,penutup
194,190,toping
195,191,toko
196,192,izin
197,193,dirapihkan
198,194,gimana
199,195,rapihkan
200,196,bermain
201,197,kanstin
202,198,sy
203,199,milik
204,128,ditemukan
205,200,tinggi
206,133,pkl
207,201,membangun
208,61,penertiban
209,202,bersih
210,203,dikordinasi
211,204,quot
212,205,sungai
213,206,transjakarta
214,207,wanita
215,208,wajib
216,209,wajib
217,210,layak
218,211,merah
219,212,minta
220,213,gak
221,214,ujung
222,215,parkir
223,216,motor
224,217,mereka
225,218,asap
226,219,bau
227,220,gerbang
228,221,pemberhentian
229,222,plank
230,128,ditemukan
231,128,ditemukan
232,223,berlubang
233,224,tangga
234,225,malam
235,226,pidana
236,227,nih
237,226,pidana
238,228,parkir
239,229,muka
240,128,ditemukan
241,230,kali
242,231,selokan
243,232,quot
244,233,dahan
245,234,menjuntai
246,235,pembuangan
247,236,siang
248,237,ayat
249,238,ga
250,239,persimpangan
251,240,alias
252,241,pelanggaran
253,1698,pelanggaran
254,243,pam
255,1698,pelanggaran
256,244,berderet
257,245,lampu
258,246,semua
259,247,wilayah
260,248,parkir
261,249,hukum
262,250,membantu
263,25,rapih
264,251,turunkan
265,252,penertiban
266,253,bantuannya
267,254,trotoar
268,253,bantuannya
269,253,bantuannya
270,61,penertiban
271,255,banjir
272,256,sumber
273,257,sekolah
274,258,menggangu
275,259,air
276,260,kebakaran
277,261,tersebut
278,262,penertiban
279,263,tidur
280,264,kosong
281,265,kuning
282,266,bocor
283,267,lewat
284,268,penertiban
285,269,rata
286,270,dg
287,271,kenapa
288,272,kelompok
289,273,agak
290,274,lampu
291,275,dicopot
292,276,pejalan
293,277,terjadi
294,278,pak
295,279,jpo
296,280,penerangan
297,281,cat
298,282,tutup
299,283,proses
300,281,cat
301,284,pembatas
302,285,minta
303,286,selokan
304,287,sampah
305,288,pemilik
306,289,aktifitas
307,290,kali
308,289,aktifitas
309,291,pohon
310,292,pengurus
311,1698,pelanggaran
312,293,bina
313,294,unjuk
314,295,pohon
315,296,rumah
316,128,ditemukan
317,61,penertiban
318,297,kalideres
319,61,penertiban
320,298,kita
321,299,anak
322,61,penertiban
323,300,pengunjung
324,301,penertiban
325,302,ditambal
326,61,penertiban
327,303,motor
328,304,warung
329,305,penertiban
330,306,sda
331,307,penertiban
332,308,sampah
333,309,bahaya
334,310,karna
335,311,kena
336,312,iklan
337,313,bangunan
338,314,dirapihkan
339,315,gerbang
340,316,cek
341,317,poster
342,318,tiang
343,319,selatan
344,320,trims
345,321,daun
346,322,setengah
347,323,bantuannya
348,324,nyala
349,325,identitas
350,326,menggangu
351,327,sumber
352,328,merah
353,329,pj
354,330,trims
355,331,terpasang
356,332,pak
357,333,gerbang
358,334,dekat
359,335,an
360,336,banjir
361,337,raya
362,338,alat
363,339,baliho
364,340,malam
365,341,tata
366,342,miring
367,343,issue
368,344,circlekstores
369,345,toping
370,346,melawan
371,347,nya
372,348,tindaklanjuti
373,349,pohon
374,350,dahan
375,351,satpol
376,352,jaya
377,353,pa
378,128,ditemukan
379,61,penertiban
380,354,menyebabkan
381,355,diatas
382,356,kabel
383,355,diatas
384,357,gorong
385,358,lawan
386,359,pasar
387,360,perbaiki
388,361,got
389,362,lebih
390,363,issue
391,364,tua
392,365,penertiban
393,366,anak
394,367,pengendara
395,368,pju
396,369,ketertiban
397,370,soal
398,371,got
399,372,lagi
400,371,got
401,373,larangan
402,374,nyala
403,375,sal
404,376,liar
405,377,kategori
406,378,dibuang
407,379,sampah
408,380,klo
409,381,sepertinya
410,382,sampah
411,383,dibongkar
412,61,penertiban
413,384,sampah
414,385,pemda
415,386,sekolah
416,387,mata
417,388,gak
418,61,penertiban
419,61,penertiban
420,389,penertiban
421,390,sarang
422,391,tidur
423,61,penertiban
424,392,memenuhi
425,305,penertiban
426,61,penertiban
427,393,tlg
428,394,bangun
429,395,trims
430,396,diangkat
431,397,antrian
432,398,ya
433,399,bau
434,400,lubang
435,401,ketua
436,402,tindaklanjuti
437,403,bocor
438,404,motor
439,405,membangun
440,406,tanah
441,407,milik
442,408,pelanggaran
443,409,memiliki
444,410,dicek
445,411,ttg
446,61,penertiban
447,412,mengalir
448,413,circlekstores
449,63,penertiban
450,414,meter
451,415,penertiban
452,61,penertiban
453,61,penertiban
454,416,bantuannya
455,417,kebakaran
456,418,penertiban
457,419,menggunakan
458,420,ditutup
459,421,menjuntai
460,422,kebakaran
461,423,diangkat
462,424,persimpangan
463,425,tikus
464,426,bantuannya
465,1698,pelanggaran
466,427,lapor
467,428,salam
468,429,polisi
469,430,blm
470,431,bongkar
471,355,diatas
472,432,violation
473,433,pajak
474,434,tempelan
475,435,ijin
476,436,pam
477,437,setengah
478,438,dicopot
479,439,beton
480,440,pkl
481,441,melanggar
482,442,berlaku
483,443,trotoar
484,444,berderet
485,445,stasiun
486,446,binamarga
487,426,bantuannya
488,447,gerbang
489,61,penertiban
490,448,kebiasaan
491,61,penertiban
492,449,nyaman
493,450,lansia
494,451,beton
495,452,tanaman
496,61,penertiban
497,453,pribadi
498,63,penertiban
499,454,kereta
500,455,musim
501,456,pejalan
502,457,berdiri
503,458,pemerintahan
504,459,mati
505,460,dikerjakan
506,461,aduan
507,462,diangkut
508,463,gak
509,464,motor
510,61,penertiban
511,465,abal
512,466,rakyat
513,467,jak
514,468,daerah
515,13,rawamangun
516,469,pedestrian
517,470,hancur
518,471,tata
519,472,bermain
520,473,saja
521,474,diganti
522,475,pengaspalan
523,476,rawan
524,355,diatas
525,477,pkl
526,478,dibongkar
527,479,sepeda
528,480,beton
529,128,ditemukan
530,481,kemarin
531,482,saluran
532,1698,pelanggaran
533,483,kuning
534,484,menghambat
535,485,menyala
536,486,menjuntai
537,487,lalulintas
538,488,berapa
539,489,tinggal
540,490,waktu
541,491,ban
542,492,penyelenggara
543,493,resmi
544,494,perbaikan
545,495,kayu
546,496,makin
547,497,amblas
548,498,lakukan
549,499,pedestrian
550,500,padat
551,501,peraturan
552,502,kencang
553,503,rapihkan
554,504,stasiun
555,505,diganti
556,506,parkir
557,507,stop
558,508,pintu
559,509,ptsp
560,510,tindaklanjuti
561,511,pelayanan
562,512,halte
563,513,lawan
564,514,sepeda
565,515,polisi
566,516,tumpukan
567,517,lantai
568,518,amp
569,519,pbg
570,520,pembuangan
571,521,walikota
572,522,rumput
573,523,cat
574,524,mhn
575,524,mhn
576,525,plank
577,526,bantuannya
578,527,abal
579,528,sampah
