cluster,content,topic_label,category
1,penutup got berlubang dapat membahayakan kendaraan yg lewat,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']","Saluran Air, Kali/Sungai"
1,"jalan berlubang, bahaya untuk pengendara. apa lagi saat hujan..","['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']",Jalan
1,penerangan sangat minim perlu ditambahkan lampu di halte ini,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)"
1,tambal dan perbaiki jalan2 mau berlubang agar mulus sepanjang jalan,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']",Jalan
1,"pembangunan pintu keluar masuk pabrik atau gudang, yang nantinya akan membahayakan pengguna jalan karena posisi pintu tepat persis berada setelah tikungan. ditambah tinggi bangunan yang membuat pengguna jalan tidak bisa melihat kendaraan lain di tikungan.","['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']",Tata Ruang dan Bangunan 
3,"dear pemprov dki mohon bantuannya untuk mengangkat sampah yg ada di pinggiran taman, mohon dibersihkan atas bantuannya terima kasih. di musim. penghujan ini agar tidak jadi sarang dbd","['sampah', 'air', 'salur', 'mohon', 'tindak']",Sampah 
3,ini sampah informasi nya sudah di bersihkan ternyata cuma di taruh di samping nya lagi minta tolong untuk petugas sampah nya segera di tindak lanjuti,"['sampah', 'air', 'salur', 'mohon', 'tindak']",Sampah 
3,pipa saluran air (limbah) bocor.. sudah coba komunikasi dengan pemilik tp blm ada tindakan juga.. cm suruh sabar.. butuh segera ditindaklanjuti karena bau dll..,"['sampah', 'air', 'salur', 'mohon', 'tindak']",Jalan
3,di area tempat pemakaman umum tegal alur banyak warga sekitar membuang sampah sembarangan di area pemakaman. tolong untuk di tertipkan.. yg membuang sampah warga rt04/013 kel tegal alur. kec kalideres ..butuh segera ditindaklanjuti karena kalo di biarkan sampah akan banyak dan berserakan,"['sampah', 'air', 'salur', 'mohon', 'tindak']",Sampah 
3,hallo pak ppsu mohon dicukur dibersihkan &amp; dirapikan ya. trmksh,"['sampah', 'air', 'salur', 'mohon', 'tindak']",Sampah 
10,"ada orang ini, malah membuat antrian semakin lambat","['parkir', 'jalan', 'liar', 'tindak', 'mobil']",Gangguan dan Kebisingan  
10,banyak angkot ngetem pada sore hari meskipun ada tanda larangan parkir dan dibiarkan oleh petugas dinas perhubungan sebaiknya larangan parkir ngetem dihilangkan saja,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']",Parkir Liar
10,"parkir liar di atas trotoar. laporan berulang yang kesekian juta kali. karena ga pernah ada tindakan tegas, ga ada solusi jangka panjang juga sesuai uu no 22 tahun 2009, tentang lalu lintas jalan (llaj) pasal 131 ayat 1, fasilitas umum berupa trotoar ada hak pejalan kaki dan jika melanggar dan menyalahi penggunaan trotoar, termasuk parkir mobil di trotoar terancam sanksi penderekan dan ancaman pidana penjara paling lama satu tahun atau denda paling banyak rp 24 juta.","['parkir', 'jalan', 'liar', 'tindak', 'mobil']",Parkir Liar
10,tolong tindak dan tertibkan parkir liar dilokasi ini.,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']",Parkir Liar
10,"tolong ditindak lanjuti utk kendaraan yg parkir sembarangan sepanjang jln pinang kalijati, tdk bs hanya ditungguin petugas 1 hari saja dan hanya berdiri beberapa menit/jam saja. pasang rambu atau trotoar/besi pembatas supaya efektif","['parkir', 'jalan', 'liar', 'tindak', 'mobil']",Arus Lalu Lintas
11,lampu merah di ujung yang dari arah senayan mati lampu yang merah nya saja,"['lampu', 'mati', 'jalan', 'terang', 'mohon']",Jalan
11,sepanjang jalan lampu pada mati semua tolong segera diperbaiki lampu jalannya karna gelap sekali segera tindak lanjuti masalah,"['lampu', 'mati', 'jalan', 'terang', 'mohon']",Jalan
11,mohon segera tl lampu pju jalan raya mati total di area sekitaran pertokoan pulomas,"['lampu', 'mati', 'jalan', 'terang', 'mohon']",Jaringan Listrik 
11,"depan resto emados, terdapat lampu pju mati ketika malam, mohon untuk diperbaiki, terimakasih ...","['lampu', 'mati', 'jalan', 'terang', 'mohon']",Jaringan Listrik 
11,"ijin melaporkan, lampu pju mati di jl gg hj jaimin, palmerah, jakarta barat dekat rumah no. 84b (patokannya belakang kost anggur). mohon segera di tindak lanjuti 🙏","['lampu', 'mati', 'jalan', 'terang', 'mohon']","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)"
24,ditemukan pelanggaran adanya reklame rokok berupa videotron,"['reklame', 'rokok', 'temu', 'langgar', 'billboard']",Kawasan Dilarang Merokok
24,ditemukan adanya reklame rokok berupa videotron di atas kasir alfamart,"['reklame', 'rokok', 'temu', 'langgar', 'billboard']",Kawasan Dilarang Merokok
24,ditemukan adanya reklame rokok berupa sticker di kasir indomaret,"['reklame', 'rokok', 'temu', 'langgar', 'billboard']",Kawasan Dilarang Merokok
24,--- judul laporan: kehilangan sepeda di shelter parkir samping halte transjakarta manggarai 1,"['reklame', 'rokok', 'temu', 'langgar', 'billboard']","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)"
24,ditemukan adanya reklame rokok berupa jargon merk rokok di growell coffee,"['reklame', 'rokok', 'temu', 'langgar', 'billboard']",Kawasan Dilarang Merokok
31,segera tindak lanjuti masalah lampu jalanan mati tolong segera di perbaiki karena sangat membahayakan bagi para pengguna jalan,"['jalan', 'lampu', 'donk', 'mati', 'dinas']",Jaringan Listrik 
31,lampu jalan an uda beberapa hari mati tolong dinas penerangan jalan,"['jalan', 'lampu', 'donk', 'mati', 'dinas']",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU)
31,tolong donk kabel kebawa semua ditindaklanjuti oleh dinas perkabelan,"['jalan', 'lampu', 'donk', 'mati', 'dinas']",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU)
31,lampu jalan mati mendadak tolong dinas marga turun tangan langsung untuk perbaiki lampu jalanan,"['jalan', 'lampu', 'donk', 'mati', 'dinas']",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU)
31,lampu jalanan mati tolong diperbaikin oleh dinas penerangan,"['jalan', 'lampu', 'donk', 'mati', 'dinas']",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU)
