content,category,cluster
"saya membuat laporan em231211bdkb tanggal 12 desember 2023 dan em231213c6j6 tanggal 13 desember 2023 melalui email karena laporan saya dalam bentuk video, dengan harapan bukti yg saya sertakan lebih jelas daripada hanya mencantumkan foto, dan saya pikir tindakannya juga akan lebih cepat. ternyata sampai sekarang tidak ada penindakan sama sekali 😂 apakah laporan saya dianggap laporan yg tidak penting?",Gangguan dan Kebisingan  ,0
"jalan amblas, sudah banyak korban. akibat pekerjaan gorong-gorong kerjanya sembarangan",Jalan,1
"terdapat lubang cukup dalam, atas perhatian dan perbaikannya saya ucapkan terima kasih",Jalan,2
segera tindak lanjuti masalah hujan lebat dari jam 12.00 wib hingga 14.00 wib menyebabkan jalanan langsung banjir dibawah lutut orang dewasa.,Penanganan Banjir,3
mohon permohonan peninggian jembatan dan pembangunan tanggul pelindung digubris agar tidak ada korban jiwa lagi.,Jalan,3
"penutup got hancur, tolong diperbaiki. butuh segera ditindaklanjuti karena satu satunya akses warga ( gang buntu)",Jalan,4
permasalahan: segera tindak lanjuti masalah hujan lebat dari jam 12.00 wib hingga 14.00 wib menyebabkan jalanan langsung banjir dibawah lutut orang dewasa.,Penanganan Banjir,3
satu jam yg lalu sdh lapor bakar batok kelapa warung preman maling . tidak tl petugas dan bakar bikin arang lanjut. direlokasi loksem yg srlalu ganggu warga pak,Lokasi PKL Binaan ,5
batang pohon hampir jatuh mengenai pengunjung ragunan pada saat ramai. tolong dinas terkait topping pohon,Pohon,6
"banyak yg ngelawan arah , bikin macet dan ada yg ngatur tapi ga bener , tolong di bantu agar lancar dan tidak macet ada pelanggaran segera tindak lanjuti masalah masalah ini terjadi saat butuh segera ditindaklanjuti karena",Jalan,7
selalu macet petugas dishub/satpol pp tidak ada pagi2 saat jam rawan macet. tolong ada petugas dibeberapa titik ini pagi2 jam 6-7 itu rawan macet. jangan terlalu siang untuk petugas datang sudah sepi pasti segera tindak lanjuti masalah,Arus Lalu Lintas,7
"poho besar tersebut sangat berbahaya sekali apabila ada hujan dan angin menimbulkan percikan api dari kabel yang tergesek oleh pohon, harap ditindak lanjuti sebelum terjadi hal hal yang tidak di inginkan, sesungguhnya hal hal yang berkaitan dengan fasum harus ditindak lanjuti oleh yang berkompeten tanpa harus menunggu laporan dari masyarakat bila fungsi pengawasanya berjalan",Pohon,6
apakah ada pihak yang bertanggung jawab untuk memastikan apakah alat ini masih bwrfungsi atau tidak? bukannya harus di cek secara berkala? follow up on this issue,Penanganan Kebakaran,8
"sudah sekitar 1 bulan, tidak ada jadwal pembersihan dari dinas pertamanan, biasanya 3 hari sekali dibersihkan. mohon tindak lanjutnya dan dijadwalkan. butuh segera ditindaklanjuti karena ini tempat berkumpul warga dan anak anak bermain",Taman ,3
", mobil tanpa garasi perda dki no5/2014 ps140 jl rawamangun muka golf no 7 rt 11 rw 14 rawamangun pulogadung jakarta timur 13220 twitter facebook instagram",Gangguan dan Kebisingan  ,9
"hujan lebat, genangan menyebabkan banjir dikarenakan saluran air di depan masjid al anwar supaya tidak mengulang dari awal, karena ini sudah sering di laporkan sebelum nya. tolong di gunakan referensi laporan dengan nomor : jk2311180334 ditunggu solusi secara menyeluruh untuk permasalahan ini","Saluran Air, Kali/Sungai",3
"mohon ijin bantuan dinas terkait.pohon ini berbahaya, sudah tinggi sekali dan sering batang dan dahan yg lapuk menimpa rumah warga dan pejalan kaki.",Pohon,6
"jalanan hancur di karenakan pemasangan uditch, butuh perbaikan / pengaspalan, segera di atasi segera tindak lanjuti masalah",Jalan,1
"mohon ditertibkan parkir liar depan pasar jaya ciracas, karena mengganggu arus lalu lintas setiap pagi di hari kerja jam 5 s.d 7 pagi. bila dilakukan penggebahan saja kurang efektif, mungkin bisa dilakukan tilang karena sudah ada rambu s dan p dilarang parkir. sehingga ada efek jera, dan jika tidak ada petugas parkir liar tetap terjadi dan mengganggu aktivitas warga yang melewatinya.",Arus Lalu Lintas,10
"mohon dinas terkait dan pemerintah agar meninggikan tanggul penahan bibir sungai, karena debit air sudah melewati tanggul yang warga buat sementara mohon ditinggikan sekitar 30-50cm terimakasih segera tindak lanjuti masalah","Saluran Air, Kali/Sungai",3
"butuh segera ditindaklanjuti karena tanaman liar tersebut sangat cepat tumbuh ketika musim hujan, ditakutkan menjadi sarang hewan berbisa seperti ular, sangat bahaya untuk anak-anak dan penghuni lainnya. terima kasih.",Pohon,3
"pintu air di drainase macet sehingga setiap kali kali mampang banjir, air meluap ke jalanan perumahan. minta tolong diperbaiki pintu air tersebut. permohonan peninggian jembatan karena tiap kali hujan jembatan pasti tenggelam tidak pernah di tl dengan berbagai alasan. jembatan pernah diperbaiki di masa gubernur ahok dan jalan ditinggikan. surat ke plh pernah dikirim tahun 2022 tapi kelurahan nggak bergerak","Saluran Air, Kali/Sungai",3
"tolong buat pak pj heru,ini terotoar di kembalikan pungsingnya jangan buat komersil karrna lurah atau pun satpol pp terkesan tutup mata saya akan pantau kalau masih ada lurah tidak mampu berbuat apa apa ada apa ini dan juga bina marga kecamatan harus turun tangan juga.","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",8
lampu lalu lintas warna kuning dan hijau mati.,Perlengkapan Lalu Lintas,11
mohon dilakukan penertiban pedagang dan parkir motor liar karena mengakibatkan komplain dari kedubes nya menyatakan mengganggu akses keluar masuk kendaraan ke kedutaan.,Parkir Liar,10
"pegangan tutup saluran sangat menonjol, berbahaya dapat menyebabkan tersandung",Tutup Saluran ,1
"kabel internet menjuntai dan berantakan, tolong dibantu dirapikan di ikat kabelnya supaya rapih kembali",Jaringan Listrik ,6
"lampu jalan mati, berbahaya tolong diperbaiki terina kasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
"lampu jalan mati, berbahaya mohon diperbaiki terima kasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
butuh segera ditindaklanjuti karena sudah lama mati lampu jalannya terimakasih,Jalan,11
"sepanjang jalan bona vista, lampu jalan tidak menyala. ada sekitar 10 pcs di sisi rumah","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
lobang di jalan (sumur resapan) tolong diperbaiki terina kasih,Tutup Saluran ,1
"mati membahayakan pengguna jalan, mohon segera diperbaiki","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
mohon segera diperbaiki konblok trotoar yang rusak dan perlu perbaikan agar trotoar enak dipandang dan nyaman dilalui pejalan kaki,Trotoar,1
"lampu pju padam, mohon untuk diperbaiki, terimakasih",Jaringan Listrik ,11
"ada jalan berlubang yang membahayakan pengguna jalan. ukurannya besar, tolong segera ditindaklanjuti🙏",Jalan,1
"lampu pju mati 1 titik depan komnas anak, mohon untuk diperbaiki, terimakasih",Jaringan Listrik ,11
"lampu lalu lintas mati, tolong perbaiki.",Perlengkapan Lalu Lintas,11
"agar kira nya di terus kan ke dinas sda mohon di maksimal kam pembuatan turap nya, agar tanah yang di pinggiran kali supaya diangkat juga agar lebar kali maksimal mengingat musim sudah musim hujan, agar kedalaman kali juga kembali aman sehingga tidak banjir",Keluhan Galian/Sisa Proyek,1
penutup saluran air yang ambrol bisa membahayakan pejalan kaki butuh segera ditindaklanjuti karena,"Saluran Air, Kali/Sungai",1
banyak nya sampah yang diakibatkan banjir sehingga dapat menimbulkan penyakit,Sampah ,3
butuh segera ditindaklanjuti karena musim hujan ranting pohon dan daun bikin mampet saluran pembungan air,Pohon,3
"lampu sudah 2 hari padam,warga agak kesulitan bila lagi bongkar muat",Jaringan Listrik ,11
"genangan air selalu ada,mohon segera di tindaklanjuti, karena dapat membahayakan pengendara motor, dan rusaknya stuktur jalansegera tindak lanjuti masalah...",Jalan,1
"sepanjang perumahan ametis sampai jl kemandoran vii mati lampu penerangan jalan nya, tolong dibetulkan kepada dinas terkait. trims.","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
tiang bambu renovasi rumah dipancang sampai ke jalan umum. menghambat penggunaan jalan apalagi kalau ada mobil parkir. ini sudah berlangsung berminggu-minggu.,Jalan,30
"segera tindak lanjuti masalah pak lurah semper timur pejabat yg tidak perlu di contoh oleh pejabat yg lainnya, dia tidak merasa takut dengan pk walikota jakarta utara bahkan gubenur dki jakarta merasa ada yg bekingij setingkat mentri bahkan peresiden, karena setelah warga melaporkan dia mengambil tindakan membersihkan atau merapihkan tempat tersebut dan setelah itu di tumpuk lagi barang bekas atau rongsokan di tempat tersebut","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",13
sampah di got dan diatas got agar tuntas. sebenarnya banyak smapah di got gak sempat kefoto karna macet,Sampah ,14
pohon tumbang di halte busway jembatan baru. mohon instansi terkait untuk dapat segera ditindaklanjuti.,Pohon,6
"simpang ini pasang lampu pengatur lalu lintas, suka macet panjang di simpang ini",Arus Lalu Lintas,7
lampu penyebrangan rusak...gak pernah benar sdh lamaaaaa,Arus Lalu Lintas,11
tolong diusir dan ditertibkan para pkl yg iq nya dibawah rata rata yg berdagang di bahu jalan raya. ini bisa membahayakan pengendara karena berada persis di bahu jalan.,PKL Liar,10
ini setiap pagi selalu macet banyak pertigaan apalagi banyak sekolahan tolong ada petugas dishub/satpol pp yang mengatur biar ga macet dan teratur ya.. segera tindak lanjuti masalah,Arus Lalu Lintas,7
sampah berserakan di spald mengganggu pemandangan dan aroma busuk serta dapat menyumbat aliran air.,Sampah ,3
"sampah di saluran air, potensi menyumbat aliran air dan banjir. mohon dibantu pembersihan saluran air mulai dari hulu saluran air ini. terima kasih",Sampah ,3
mohon di toping atau di pendek kn sudin pertamanan dan hutan kota ranting pohon banyak yg menutupi lampu pju taman malaka contri,Pohon,2
laporan sebelumnya jk2303060039 di tahun 2023 dengan pernyataan petugas akan dibuatkan cermin lalu lintas di lokasi tersebut di tahun berikutnya,Perlengkapan Lalu Lintas,0
"trafgic light padam, tolong dibenahi .trm ksh.......","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
pkl liar menggunakan fasum untuk berdagang mohon bantuan penertiban,PKL Liar,15
"jl rawamangun muka golf no.3 rt 11/14 rawamangun, jaktim",Parkir Liar,9
minta tolong bapak ibu pemilik rumah. ini di dalam gang kawasan ramai tetangga . mohon kerja samanya . suara serutan kayu dan potong besi anda menggangu lingkungan sekitar. walaupun pagar di tutup suara tetap keluar kalau buka usaha mebel jangan di dalam gang ganggu masyarakat terimakasih,Gangguan dan Kebisingan  ,5
"sampah serak daun,plastik ditumpuk tumpul ke fasum ke tiang fasum. segera dibersihkan",Sampah ,14
pkl liar berdagang di trotoar melanggar perda no 8 tahun 2007 mohon bantuan penertiban,PKL Liar,15
banyak parkir liar di badan jalan di jam 13.00 depan mall season city dan di bawah jpo mohon bantuan penertiban,Parkir Liar,15
pkl liar melanggar perda no 8 tahun 2007 mohon bantuan penertiban,PKL Liar,15
jam 13.30 pkl liar menggunakan trotoar untuk berdagang mohon bantuan penertiban,PKL Liar,15
vak sampah pd kettup shingga pembuangnya asal ke fasum dan kebawa air segera di air dan didarat dpt dibersihkan,Sampah ,14
segera tindak lanjuti masalah apakah kanan kiri tersebut jadi lahan parkiran mobil ??,Parkir Liar,8
"jalan berlubang cukup besar, tolong di perbaiki. terima kasih",Jalan,1
pkl liar menggunakan trotoar untuk berdagang melanggar perda no 8 tahun 2007 mohon ditertibkan,PKL Liar,15
"mohon bantuan penertiban pkl liar yang menggunakan fasum untuk berdagang, melanggar perda",PKL Liar,15
"pedangang ini menggunakan trotoar untuk berdagang, bikin atap di trotoar mohon bantuan penertiban terhadap maling hak orang lain",PKL Liar,15
pohon rimbun menghalangi penerangan lampu pju tolong topping,Pohon,16
